step,cb,random
339,0.887906,0.926254,0.215339
340,0.888235,0.926471,0.214706
341,0.888563,0.926686,0.214076
342,0.888889,0.926901,0.216374
343,0.889213,0.927114,0.215743
344,0.889535,0.927326,0.218023
345,0.889855,0.927536,0.217391
346,0.890173,0.927746,0.216763
347,0.887608,0.927954,0.216138
348,0.887931,0.928161,0.218391
349,0.888252,0.928367,0.217765
350,0.888571,0.928571,0.217143
351,0.888889,0.925926,0.216524
352,0.889205,0.926136,0.215909
353,0.889518,0.926346,0.215297
354,0.889831,0.926554,0.214689
355,0.890141,0.926761,0.214085
356,0.890449,0.926966,0.216292
357,0.890756,0.927171,0.215686
358,0.891061,0.927374,0.215084
359,0.891365,0.927577,0.214485
360,0.891667,0.927778,0.213889
361,0.891967,0.927978,0.213296
362,0.892265,0.928177,0.212707
363,0.892562,0.928375,0.214876
364,0.892857,0.928571,0.214286
365,0.893151,0.928767,0.216438
366,0.893443,0.928962,0.215847
367,0.891008,0.929155,0.217984
368,0.888587,0.929348,0.217391
369,0.886179,0.929539,0.216802
370,0.886486,0.92973,0.216216
371,0.886792,0.929919,0.218329
372,0.887097,0.930108,0.22043
373,0.887399,0.930295,0.22252
374,0.885027,0.930481,0.224599
375,0.885333,0.930667,0.224
376,0.885638,0.928191,0.223404
377,0.885942,0.928382,0.222812
378,0.886243,0.928571,0.222222
379,0.886544,0.92876,0.221636
380,0.886842,0.928947,0.221053
381,0.887139,0.929134,0.223097
382,0.887435,0.929319,0.225131
383,0.887728,0.929504,0.224543
384,0.888021,0.929688,0.223958
385,0.888312,0.92987,0.223377
386,0.888601,0.930052,0.222798
387,0.888889,0.930233,0.224806
388,0.889175,0.930412,0.224227
389,0.88946,0.930591,0.22365
390,0.889744,0.930769,0.225641
391,0.890026,0.930946,0.225064
392,0.890306,0.931122,0.227041
393,0.890585,0.931298,0.229008
394,0.890863,0.931472,0.228426
395,0.891139,0.931646,0.227848
396,0.891414,0.931818,0.227273
397,0.891688,0.93199,0.229219
398,0.89196,0.932161,0.228643
399,0.892231,0.932331,0.22807
400,0.8925,0.9325,0.2275
401,0.892768,0.932668,0.226933
402,0.893035,0.932836,0.228856
403,0.8933,0.933002,0.228288
404,0.893564,0.933168,0.227723
405,0.893827,0.933333,0.22716
406,0.894089,0.933498,0.226601
407,0.894349,0.933661,0.226044
