step,cb,random
372,0.924731,0.25
373,0.924933,0.252011
374,0.925134,0.251337
375,0.925333,0.250667
376,0.925532,0.25266
377,0.925729,0.251989
378,0.925926,0.251323
379,0.926121,0.25066
380,0.926316,0.25
381,0.926509,0.251969
382,0.926702,0.251309
383,0.926893,0.250653
384,0.927083,0.25
385,0.927273,0.249351
386,0.927461,0.248705
387,0.927649,0.248062
388,0.927835,0.247423
389,0.928021,0.246787
390,0.928205,0.246154
391,0.928389,0.245524
392,0.928571,0.244898
393,0.928753,0.244275
394,0.928934,0.243655
395,0.929114,0.243038
396,0.929293,0.242424
397,0.929471,0.241814
398,0.929648,0.241206
399,0.929825,0.240602
400,0.93,0.24
401,0.930175,0.239401
402,0.930348,0.238806
403,0.930521,0.238213
404,0.930693,0.237624
405,0.930864,0.237037
406,0.931034,0.236453
407,0.931204,0.235872
408,0.931373,0.235294
409,0.93154,0.237164
410,0.931707,0.236585
411,0.931873,0.23601
412,0.932039,0.235437
413,0.932203,0.234867
414,0.932367,0.2343
415,0.93253,0.233735
416,0.932692,0.235577
417,0.932854,0.235012
418,0.933014,0.236842
419,0.933174,0.236277
420,0.933333,0.238095
421,0.933492,0.23753
422,0.933649,0.236967
423,0.933806,0.236407
424,0.933962,0.235849
425,0.934118,0.235294
426,0.934272,0.234742
427,0.934426,0.234192
428,0.934579,0.233645
429,0.934732,0.2331
430,0.934884,0.234884
431,0.935035,0.234339
432,0.935185,0.236111
433,0.935335,0.237875
434,0.935484,0.237327
435,0.935632,0.236782
436,0.93578,0.236239
437,0.935927,0.235698
438,0.936073,0.23516
439,0.936219,0.234624
440,0.936364,0.234091
441,0.936508,0.23356
442,0.936652,0.233032
443,0.936795,0.232506
444,0.936937,0.234234
445,0.937079,0.233708
446,0.93722,0.233184
447,0.93736,0.234899
448,0.9375,0.234375
449,0.937639,0.23608
450,0.937778,0.237778
451,0.937916,0.237251
452,0.938053,0.236726
453,0.93819,0.236203
454,0.938326,0.235683
455,0.938462,0.235165
456,0.938596,0.234649
457,0.938731,0.234136
458,0.938865,0.235808
459,0.938998,0.235294
460,0.93913,0.234783
461,0.939262,0.234273
462,0.939394,0.233766
463,0.939525,0.233261
464,0.939655,0.232759
465,0.939785,0.232258
466,0.939914,0.23176
467,0.940043,0.231263
468,0.940171,0.230769
469,0.940299,0.230277
470,0.940426,0.229787
471,0.940552,0.231423
472,0.940678,0.230932
473,0.940803,0.230444
474,0.940928,0.232068
475,0.941053,0.233684
476,0.941176,0.233193
477,0.9413,0.234801
478,0.941423,0.23431
479,0.941545,0.235908
480,0.941667,0.2375
481,0.941788,0.239085
482,0.941909,0.238589
483,0.942029,0.238095
484,0.942149,0.239669
485,0.942268,0.239175
486,0.942387,0.238683
487,0.942505,0.240246
488,0.942623,0.239754
489,0.94274,0.239264
490,0.942857,0.238776
491,0.942974,0.240326
